scen,period,fundregion,age,pop,inmig,inmig_sum,share,index
SSP5,2090,MDE,25,23905.474079165844,2271.483983007495,11826.719607402874,0.19206373858611406,8
SSP5,2090,MDE,30,25172.257095559933,1518.2964745285367,11826.719607402874,0.12837849589146993,8
SSP5,2090,MDE,35,26587.55519586084,940.3915737804583,11826.719607402874,0.07951415142976967,8
SSP5,2090,MDE,40,27894.800738340644,573.0487924873659,11826.719607402874,0.04845373962604718,8
SSP5,2090,MDE,45,28737.09275944287,347.9293197797079,11826.719607402874,0.029418920151106257,8
SSP5,2090,MDE,50,29018.985580562738,211.0760208998494,11826.719607402874,0.01784738523501711,8
SSP5,2090,MDE,55,29155.653016653792,128.0277937831417,11826.719607402874,0.010825300508773656,8
SSP5,2090,MDE,60,29810.607509559166,77.65011309777114,11826.719607402874,0.0065656509730023915,8
SSP5,2090,MDE,65,31503.724819468458,47.09043023581442,11826.719607402874,0.003981698374445134,8
SSP5,2090,MDE,70,33632.02225934383,69.01073470312417,11826.719607402874,0.005835154378727915,8
SSP5,2090,MDE,75,33835.676165088305,0,11826.719607402874,0,8
SSP5,2090,MDE,80,30178.375557668332,0,11826.719607402874,0,8
SSP5,2090,MDE,85,24960.44561201511,0,11826.719607402874,0,8
SSP5,2090,MDE,90,19364.584612622763,0,11826.719607402874,0,8
SSP5,2090,MDE,95,13447.922266980608,0,11826.719607402874,0,8
SSP5,2090,MDE,100,7325.178080026732,0,11826.719607402874,0,8
SSP5,2090,MDE,105,1954.1355593829771,0,11826.719607402874,0,8
SSP5,2090,MDE,110,177.27594865421523,0,11826.719607402874,0,8
SSP5,2090,MDE,115,4.940977739022549,0,11826.719607402874,0,8
SSP5,2090,MDE,120,0.08788665607551924,0,11826.719607402874,0,8
SSP5,2090,CAM,0,9289.88024706401,61.91770972910015,714.3928266352068,0.08667179655307126,9
SSP5,2090,CAM,5,9442.999521026622,37.56519608045199,714.3928266352068,0.052583389250119184,9
SSP5,2090,CAM,10,9707.781746839995,23.499265723662717,714.3928266352068,0.03289403931215877,9
SSP5,2090,CAM,15,10030.34284002462,65.49739907266309,714.3928266352068,0.09168261022602384,9
SSP5,2090,CAM,20,10125.892601591606,152.37314094960027,714.3928266352068,0.21329041287729386,9
SSP5,2090,CAM,25,9764.83887723492,137.1966933919717,714.3928266352068,0.1920465719654111,9
SSP5,2090,CAM,30,9539.056544302768,91.71514788142134,714.3928266352068,0.12838195522399082,9
SSP5,2090,CAM,35,9587.872893721695,56.806365067368546,714.3928266352068,0.0795169869425016,9
SSP5,2090,CAM,40,9766.998315696756,34.61625046406732,714.3928266352068,0.048455484396602924,9
SSP5,2090,CAM,45,9971.502924616756,21.017429913317685,714.3928266352068,0.029419990136672937,9
SSP5,2090,CAM,50,10205.987344474264,12.75050301380737,714.3928266352068,0.017848027777465643,9
SSP5,2090,CAM,55,10527.903048598031,7.73379806043165,714.3928266352068,0.010825693892893454,9
SSP5,2090,CAM,60,10950.633742687309,4.6906155495148125,714.3928266352068,0.00656587716817879,9
SSP5,2090,CAM,65,11534.096956777263,2.8445868299013,714.3928266352068,0.003981824458259633,9
SSP5,2090,CAM,70,12333.382929813166,4.1687249079267845,714.3928266352068,0.005835339819356105,9
SSP5,2090,CAM,75,12035.189548715343,0,714.3928266352068,0,9
SSP5,2090,CAM,80,11880.203949984929,0,714.3928266352068,0,9
SSP5,2090,CAM,85,11661.400464472781,0,714.3928266352068,0,9
SSP5,2090,CAM,90,10413.8837946909,0,714.3928266352068,0,9
SSP5,2090,CAM,95,7529.182131077543,0,714.3928266352068,0,9
SSP5,2090,CAM,100,3911.9210173845227,0,714.3928266352068,0,9
SSP5,2090,CAM,105,1113.091224455478,0,714.3928266352068,0,9
SSP5,2090,CAM,110,135.84333345806485,0,714.3928266352068,0,9
SSP5,2090,CAM,115,5.633564757268142,0,714.3928266352068,0,9
SSP5,2090,CAM,120,0.13474921153531705,0,714.3928266352068,0,9
SSP5,2090,LAM,0,26614.91193055617,148.63140776934583,1714.8824305903217,0.08667148553045806,10
SSP5,2090,LAM,5,26848.545751455244,90.17411016084033,1714.8824305903217,0.052583260841852164,10
SSP5,2090,LAM,10,27194.16152291933,56.40953332444211,1714.8824305903217,0.03289411117532063,10
SSP5,2090,LAM,15,27508.700052217268,157.2252615709074,1714.8824305903217,0.09168282254590773,10
SSP5,2090,LAM,20,27598.70280595868,365.7683383999456,1714.8824305903217,0.2132906209051518,10
SSP5,2090,LAM,25,27454.794845151246,329.3366930461212,1714.8824305903217,0.19204622262807378,10
SSP5,2090,LAM,30,27548.181771676085,220.16017517407474,1714.8824305903217,0.12838208103764176,10
SSP5,2090,LAM,35,27972.09350842404,136.36240476968567,1714.8824305903217,0.07951705745958633,10
SSP5,2090,LAM,40,28522.975083738205,83.09550532874886,1714.8824305903217,0.04845551149541168,10
SSP5,2090,LAM,45,29067.760305623942,50.45184335776062,1714.8824305903217,0.029420001311922798,10
SSP5,2090,LAM,50,29407.09938561866,30.607281681657224,1714.8824305903217,0.01784803502308968,10
SSP5,2090,LAM,55,29806.211662629226,18.564805247287456,1714.8824305903217,0.0108257014685822,10
SSP5,2090,LAM,60,30377.077454745184,11.259722552411606,1714.8824305903217,0.006565886005687061,10
SSP5,2090,LAM,65,30969.48447382543,6.828380303433343,1714.8824305903217,0.003981835828292193,10
SSP5,2090,LAM,70,31532.83925509544,10.006967903659733,1714.8824305903217,0.0058353667430221376,10
SSP5,2090,LAM,75,29864.453712094728,0,1714.8824305903217,0,10
SSP5,2090,LAM,80,29025.1160700465,0,1714.8824305903217,0,10
SSP5,2090,LAM,85,27643.375428392003,0,1714.8824305903217,0,10
SSP5,2090,LAM,90,23760.835817853,0,1714.8824305903217,0,10
SSP5,2090,LAM,95,16604.603886537854,0,1714.8824305903217,0,10
